wave,date,weekday,1,2,3,4,5,6,jackpot_number_of_prize,jackpot_value_of_prize,first_number_of_prize,first_value_of_prize,second_number_of_prize,second_value_of_prize,third_number_of_prize,third_value_of_prize
#00894,2022-05-29,sunday,2,6,19,24,30,42,0,14256983000,21,10000000,1003,300000,13916,30000
#00893,2022-05-27,friday,16,21,23,27,35,41,0,13079045500,25,10000000,784,300000,12281,30000
#00892,2022-05-25,wednesday,19,26,27,39,44,45,1,37336878000,28,10000000,1266,300000,21478,30000
#00891,2022-05-22,sunday,1,7,10,24,33,40,0,33635682500,29,10000000,1168,300000,18995,30000
#00890,2022-05-20,friday,12,17,34,39,44,45,0,30055438000,24,10000000,1065,300000,18205,30000
#00889,2022-05-18,wednesday,3,17,23,37,40,42,0,26804142000,27,10000000,1295,300000,19331,30000
#00888,2022-05-15,sunday,5,20,21,31,34,37,0,24169204000,19,10000000,984,300000,17246,30000
#00887,2022-05-13,friday,7,8,18,29,41,44,0,22293891500,25,10000000,969,300000,16983,30000
#00886,2022-05-11,wednesday,2,6,7,18,34,41,0,20622299500,30,10000000,1025,300000,17700,30000
#00885,2022-05-08,sunday,4,12,20,25,35,37,0,19023068000,17,10000000,994,300000,16140,30000
#00884,2022-05-06,friday,1,3,15,16,34,43,0,17465051000,17,10000000,876,300000,14878,30000
#00883,2022-05-04,wednesday,1,4,23,28,33,38,0,15915138500,17,10000000,874,300000,14422,30000
#00882,2022-05-01,sunday,8,21,26,35,37,42,0,14476477000,18,10000000,791,300000,12766,30000
#00881,2022-04-29,friday,5,12,16,25,26,32,0,13161021000,24,10000000,885,300000,13925,30000
#00880,2022-04-27,wednesday,3,9,14,17,27,32,1,36546933000,26,10000000,1540,300000,23355,30000
#00879,2022-04-24,sunday,9,12,23,30,32,40,0,32384289000,21,10000000,1274,300000,21604,30000
#00878,2022-04-22,friday,11,13,15,18,24,36,0,28476669500,17,10000000,1157,300000,19603,30000
#00877,2022-04-20,wednesday,1,8,17,21,27,37,0,26148270500,27,10000000,1180,300000,19371,30000
#00876,2022-04-17,sunday,5,13,15,28,38,40,0,24256968000,24,10000000,1198,300000,18932,30000
#00875,2022-04-15,friday,9,18,21,25,35,44,0,22501089500,20,10000000,1186,300000,18953,30000
#00874,2022-04-13,wednesday,1,7,20,25,40,41,0,20906620000,13,10000000,978,300000,16552,30000
#00873,2022-04-10,sunday,4,17,28,30,38,42,0,19102705000,22,10000000,1010,300000,16188,30000
#00872,2022-04-08,friday,2,13,16,19,20,36,0,17611855000,16,10000000,879,300000,14420,30000
#00871,2022-04-06,wednesday,13,17,19,25,32,45,0,16086020000,12,10000000,843,300000,14973,30000
#00870,2022-04-03,sunday,5,11,20,26,40,43,0,14573466500,18,10000000,836,300000,14127,30000
#00869,2022-04-01,friday,2,19,25,32,41,44,0,13219566000,18,10000000,771,300000,12527,30000
#00868,2022-03-30,wednesday,1,12,26,28,39,45,1,22422244500,32,10000000,1035,300000,17596,30000
#00867,2022-03-27,sunday,8,17,21,39,44,45,0,20912630500,23,10000000,1148,300000,17596,30000
#00866,2022-03-25,friday,1,12,13,27,29,35,0,19431284000,15,10000000,835,300000,14115,30000
#00865,2022-03-23,wednesday,2,9,37,38,40,43,0,17867079000,6,10000000,777,300000,14324,30000
#00864,2022-03-20,sunday,1,9,10,12,22,44,0,16182991000,24,10000000,1084,300000,16380,30000
#00863,2022-03-18,friday,6,10,15,29,41,42,0,14843907500,10,10000000,810,300000,13685,30000
#00862,2022-03-16,wednesday,10,11,14,24,31,45,0,13414721000,10,10000000,833,300000,14064,30000
#00861,2022-03-13,sunday,1,5,19,20,23,38,1,36253032000,16,10000000,1251,300000,20889,30000
#00860,2022-03-11,friday,6,20,23,29,34,45,0,32340443500,31,10000000,1096,300000,19395,30000
#00859,2022-03-09,wednesday,3,15,35,39,40,43,0,28814538500,21,10000000,1186,300000,20727,30000
